Structure,SMILES,SI Table numbers/name,Formal charge,Formal charge Class,Q_vsa_Ppos,Q_vsa_Ppos Class,vsa_don,vsa_don Class,PA Accum Class,PA Accum,EC accum
,[NH3+]C[C@@H]1[C@@]2([H])OC[C@@H](OS(c3ccc(c4ccccc4)cc3)(=O)=O)[C@@]2([H])OC1,2.123,0.989,1,51,0,17.7,0,1,453 ± 39*,1290 ± 76*
,O=C(N)c1c(Nc2nc(C)c(C)cc2)cc(N[C@H]2[C@@H]([NH3+])CCCC2)nn1,2.124,1.06,1,109,1,46.9,1,1,451 ± 34*,840 ± 76*
,[NH3+]C1CCC(Nc2nc(-n3nnc4c3cccc4)ccn2)CC1,2.125,1.0,1,74,0,23.4,1,1,439 ± 7*,540 ± 27*
,Clc1cccc(NC(c2ccc(CC(CC3)[NH3+])c3c2)=O)c1,2.126,0.998,1,51,0,23.4,1,1,438 ± 15*,1871 ± 75*
,Clc1ccc(-c2nc([C@@H]3[C@H](F)[C@@H](C[NH3+])O3)on2)cc1,2.127,0.92,0,78,0,17.7,0,1,429 ± 13*,2161 ± 133*
,S(=O)(=O)(c1cc2c([C@H](C[NH3+])CCC2)cc1)c1ccccc1,2.128,0.998,1,46,0,17.7,0,1,425 ± 25*,539 ± 10*
,Fc1c(C=2S[C@](CCC[NH3+])(N(C(=O)N(OC)C)N=2)c2ccccc2)cc(F)cc1,2.129,0.999,1,65,0,17.7,0,1,422 ± 22*,99 ± 3
,[NH3+]Cc1c(C(C)C)cc(CC[C@]2([H])[C@]3(C)CCC[C@]2(CO)C)c3c1,2.13,0.996,1,49,0,17.7,0,1,414 ± 20*,196 ± 29
,FC(F)(C(CCNc1cc(N2Cc3ccccc3S(=O)(CC2)=O)[nH+]c4ccc(C)cc14)N)F,2.131,0.619,0,108,1,11.4,0,1,413 ± 40*,154 ± 4
,Fc1ccc(-c2ccc(C[NH3+])cc2)cc1,2.132,0.996,1,39,0,17.7,0,1,408 ± 3*,894 ± 43*
,Clc1ccc(N2CC(CC2)[NH3+])c(NC(c3cnn4c3N=CC=C4)=O)c1,2.133,0.992,1,94,1,23.4,1,1,406 ± 8*,796 ± 59*
